path;total_conversions;total_conversion_value;total_null
FB;1;5.954;3
snapchat > FB;1;4.357;3
Pinterest > Pinterest > paid search > FB > paid search > FB;1;1.493;2
display > display > display > Pinterest > display > display > Bing;1;2.635;3
paid search > paid search > paid search;1;2.671;2
snapchat > FB > snapchat > FB;2;14.894;6
paid search > Bing > Bing > Bing > Pinterest > paid search > display > Bing > Bing > Bing;1;4.573;3
FB > paid search;0;0;3
snapchat > snapchat > snapchat > snapchat > paid search;1;1.845;3
snapchat > magazine;0;0;3
snapchat > Tiktok > Tiktok > Tiktok > Tiktok;0;0;3
Bing;1;2.502;3
FB > FB;0;0;3
paid search > paid search > paid search > paid search > paid search > offline > paid search > Tiktok > Tiktok > Bing > Tiktok;0;0;2
paid search > Pinterest > display > Bing;1;3.208;2
paid search > FB > paid search > snapchat > snapchat > FB > paid search > paid search > snapchat > paid search;1;8.945;2
Pinterest > snapchat > snapchat > Pinterest > Pinterest > Bing;1;5.146;2
paid search > snapchat > paid search;1;2.252;2
paid search > snapchat > Pinterest > snapchat > retargeting> retargeting> Pinterest;1;10.92;3
paid search > paid search > paid search > paid search;3;11.063;9
snapchat > FB;5;17.892;13
snapchat > Tiktok > FB;1;4.9;3
display > Tiktok > display > display > display > display;16;55.7950476190476;69
Pinterest > Tiktok > Pinterest > Tiktok > Tiktok > Pinterest > Tiktok > Bing;1;2.328;3
FB;1;3.465;2
FB;1;7.8;2
FB > paid search;1;4.96;3
paid search > paid search > paid search > Tiktok > Tiktok > Tiktok;1;6.29;2
display > paid search > display;1;2.815;3
paid search > display > display > display > display > display > Pinterest > paid search > paid search > Retargeting;1;2.716;3
paid search > FB > FB;1;1.699;2
paid search > paid search > Tiktok > paid search;1;1.864;2
snapchat > Tiktok;0;0;3
snapchat > FB;1;1.037;2
display > Tiktok > Tiktok > paid search > FB > Tiktok > paid search > FB > Tiktok > Tiktok > display;2;5.894;9
FB;2;8.388;5
FB;1;4.7;3
snapchat > Tiktok > FB > snapchat;1;4.49;3
display > display > Pinterest > Pinterest > FB > Pinterest > FB;1;0.422;3
snapchat > Tiktok > snapchat;1;6.7;3
paid search > paid search > snapchat > paid search > paid search;1;1.9;2
FB;1;3.7;3
paid search > paid search > paid search > paid search > paid search > paid search > Tiktok;1;3.622;3
snapchat > snapchat > Pinterest > snapchat > FB > Tiktok;1;1.181;3
paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > Bing > paid search > paid search > paid search > paid search;0;0;2
snapchat > FB;1;8.543;2
paid search > snapchat;1;1.252;2
snapchat > snapchat > FB > paid search;1;3.15;2
FB > Tiktok > Tiktok > FB > FB > FB;1;2.734;2
paid search > snapchat > paid search > Tiktok > paid search > FB;0;0;2
FB;1;12.584;2
Pinterest > paid search > offline;0;0;2
paid search > Pinterest > paid search;1;1.784;3
paid search > paid search;2;5.076;12
Tiktok > Tiktok > snapchat > snapchat > snapchat > Tiktok > Tiktok > Tiktok > Tiktok > Bing > Tiktok > Tiktok > Bing > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Bing > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;1;6;2
FB > Tiktok;5;22.4725;20
snapchat > snapchat > snapchat > paid search > Tiktok > Pinterest > snapchat > paid search;1;2.82;3
paid search > Pinterest > paid search > paid search > paid search > snapchat > Pinterest;1;15.976;2
snapchat > Tiktok > retargeting> Pinterest;1;11.824;3
paid search > paid search > paid search > paid search > FB;1;5.121;2
Pinterest > Pinterest > Pinterest > Tiktok > Tiktok > Pinterest > Pinterest > Pinterest > Tiktok > Tiktok > FB > Tiktok > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;0;0;2
paid search > Pinterest > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > paid search;1;5.822;2
FB > FB > FB;1;6.45;2
display > display > FB > display;1;1.75;2
FB;1;1.44;2
snapchat > paid search > snapchat > FB > FB;1;2.5;3
paid search > paid search > Pinterest > paid search > Pinterest;1;2.107;3
paid search > FB > FB > snapchat > snapchat > FB > snapchat > FB > snapchat > Tiktok > Tiktok > Tiktok > snapchat > Tiktok > Tiktok > Tiktok > FB;0;0;2
Tiktok > paid search > Tiktok > snapchat > paid search;1;3.3;2
Pinterest > FB > snapchat > Pinterest;1;5.14;3
paid search > snapchat;0;0;2
snapchat > snapchat > FB > snapchat > FB;1;3.869;2
FB;1;9.136;2
snapchat > FB > snapchat > FB;0;0;2
snapchat > FB;1;3.34;3
Pinterest > display > display > display > display > display > display > display > display > display > Tiktok;1;2.66;3
paid search > paid search > paid search > Bing;1;2.263;2
offline > paid search > snapchat > snapchat > Pinterest > retargeting> retargeting> retargeting> Retargeting;1;2.891;2
FB;1;1.19;2
FB;2;12.339;5
paid search > paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > Tiktok > paid search > Tiktok;1;7.782;2
snapchat > FB > snapchat;3;9.6315;10
FB > FB > Pinterest > paid search > paid search > paid search > Tiktok > paid search > paid search > paid search > Tiktok > paid search > Pinterest > paid search;1;1.953;3
paid search > paid search > FB;1;3.764;3
snapchat > FB > Tiktok > Bing;1;7.416;3
Pinterest > snapchat;1;2.338;3
snapchat > snapchat > Tiktok > Tiktok > FB > FB;1;3.189;3
paid search > Tiktok > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > display > display > display > display > Tiktok > Tiktok > paid search > display > display > display > display > display;1;5.02;2
snapchat > FB > Tiktok > paid search > FB;1;3.344;3
snapchat > snapchat > snapchat > FB > snapchat > FB > FB;2;4.662;5
paid search > snapchat > paid search > snapchat > snapchat > paid search > snapchat > paid search > snapchat > FB;1;4.8;2
snapchat > Tiktok > snapchat > snapchat > Tiktok > FB;1;2.2;2
snapchat > snapchat > FB > snapchat > FB;2;10.622;6
FB > FB;1;2;3
snapchat > FB > Tiktok;0;0;2
snapchat > FB;1;2.004;3
Pinterest > snapchat > snapchat > snapchat > paid search > paid search > paid search > paid search;1;3.745;2
display > display > paid search > paid search > snapchat > paid search > snapchat > snapchat > display > display > display;1;5.052;2
paid search > Pinterest > paid search > paid search > FB > paid search > paid search > FB;1;11.475;2
FB > paid search > paid search > paid search > snapchat > FB > FB;0;0;3
FB > FB;1;2.6;3
Tiktok > display > Retargeting;1;4.08;2
paid search > paid search > FB > Tiktok > FB > FB > Tiktok > Pinterest > Pinterest > FB > Tiktok;1;0.915;3
snapchat > snapchat > FB > Tiktok > Tiktok > Tiktok > paid search;1;4.496;3
FB > FB;1;0.006;2
Tiktok > FB > Tiktok;1;1.909;3
FB > Tiktok > snapchat > FB;1;1.8;2
display > Pinterest > display > display > display > display > Tiktok;1;2.473;2
paid search > paid search > snapchat > Tiktok > Tiktok > Tiktok > snapchat > Tiktok;1;4.1;3
Pinterest > FB > paid search > FB > Pinterest > Pinterest > paid search;1;10.214;3
Tiktok > Tiktok > Tiktok > FB > Tiktok;1;1.75;3
paid search > FB > Tiktok;1;3.023;2
snapchat > snapchat > Tiktok > Tiktok > snapchat > snapchat > Tiktok > Tiktok;2;3.624;6
Tiktok > display > display > display > display;0;0;3
display > snapchat > display;1;1.53;2
FB;1;2.234;3
snapchat > snapchat > snapchat > FB > snapchat > FB > FB;1;11.748;2
snapchat > snapchat > snapchat > snapchat > snapchat > FB;1;4.25;2
snapchat;1;9.344;3
Bing > paid search > display > retargeting> display;0;0;2
paid search > paid search > paid search > paid search;3;11.907;11
snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > Tiktok;1;2.734;2
FB;1;7.3;3
snapchat > FB > snapchat > snapchat > snapchat > snapchat > snapchat > Pinterest > Tiktok;1;1.403;3
snapchat > snapchat > snapchat > snapchat > FB;1;3.506;2
paid search > Tiktok > Tiktok > Tiktok > Tiktok > paid search > Tiktok;1;9.596;2
snapchat > snapchat > FB;1;2.657;3
snapchat;1;8.51;3
Tiktok > Pinterest > Tiktok > FB > Tiktok > Bing > FB;1;4.181;2
FB > paid search > paid search;1;1.85;3
Pinterest > Pinterest > Tiktok > Pinterest > Pinterest > Tiktok > Tiktok > Pinterest > Pinterest > Pinterest > Tiktok > Pinterest > Pinterest;1;2.13;2
FB > FB > Tiktok > Tiktok > Tiktok > Bing > FB;1;2.004;3
paid search > paid search > Pinterest > Tiktok > Tiktok > Pinterest;1;1.991;3
display > paid search > FB;1;3.865;3
paid search > paid search > paid search > Tiktok > Tiktok > paid search > paid search > paid search;1;3.3;3
paid search > snapchat > FB > FB;1;3.043;3
offline > Tiktok > Pinterest > Tiktok;1;2.392;2
snapchat > snapchat > snapchat > snapchat > FB > snapchat > FB > snapchat > FB > snapchat > FB;1;6.865;2
snapchat > paid search;4;11.2832;17
paid search > paid search > paid search > FB > paid search > FB > paid search > Pinterest > paid search > FB > paid search > retargeting> paid search > Pinterest > Pinterest;1;3.03;3
FB > FB > FB > Tiktok > FB;1;0.5;3
snapchat > snapchat > snapchat;1;3.9;3
FB > Tiktok > FB > FB > FB;1;3.601;2
FB > Tiktok;1;1.399;3
snapchat > snapchat > Tiktok > paid search > FB;1;2.217;3
snapchat > FB > snapchat > Tiktok > Tiktok > FB > Tiktok;1;9.243;2
snapchat > paid search > Tiktok > paid search;1;2.567;2
snapchat > FB > offline > Pinterest > Tiktok;1;16.621;3
paid search > Pinterest > snapchat > snapchat > paid search > Pinterest;1;9.028;2
paid search > paid search > paid search > paid search;1;3.932;3
snapchat > FB;3;10.358;9
FB > Pinterest > paid search > Pinterest > paid search > Pinterest > paid search > Tiktok;1;2;3
paid search > display > Tiktok > Pinterest > Tiktok > Pinterest > Tiktok > Tiktok > paid search > Tiktok > Pinterest > snapchat > snapchat > display > display > paid search > Tiktok > Pinterest > paid search > Pinterest > Tiktok > Tiktok > FB;1;2.3;2
paid search > paid search > FB > snapchat > FB > FB > paid search;1;1.653;3
snapchat > FB > Tiktok;1;3.387;2
paid search > FB;1;7.759;2
Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok > Tiktok > Tiktok;2;5.682;5
FB;1;2.289;6
paid search > paid search > Pinterest > paid search > Pinterest > paid search > paid search > Pinterest > FB > FB > FB > Pinterest > paid search > FB > FB > FB > FB > Pinterest;1;1.8;3
paid search > FB > display;1;5.832;3
FB > FB > Tiktok > snapchat > FB;1;4.489;2
FB > FB > Tiktok > FB;1;40.08;3
FB;9;34.68825;41
paid search > snapchat > Bing;0;0;3
Pinterest > Tiktok > paid search > Pinterest > paid search > paid search > Pinterest > paid search;1;1.534;2
Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > display > Bing > Tiktok > display > Bing > Tiktok > paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > Tiktok > paid search > paid search > Tiktok > Pinterest > Tiktok > Pinterest > Pinterest > Pinterest > Tiktok > Tiktok;1;2.3;2
paid search > Pinterest > Tiktok > Pinterest > paid search > Pinterest;1;5.976;3
snapchat > FB > snapchat > FB;1;12.132;3
FB > FB > Pinterest;1;6.219;3
snapchat > FB > snapchat > FB > FB > FB;1;9.635;2
snapchat > Bing > Bing > display > Pinterest;1;2.08;3
paid search > snapchat;1;5.037;3
snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > FB;1;7.5;2
Pinterest > Tiktok > Tiktok > FB;1;3.48;3
paid search > Pinterest > Pinterest > paid search > Pinterest > FB > paid search > FB > FB > paid search > Pinterest > Retargeting;1;5.938;2
paid search > paid search > paid search > display;1;3;3
Pinterest > display > Tiktok > Tiktok > paid search;1;2.09;3
Pinterest > snapchat > Pinterest > snapchat > Pinterest;0;0;3
FB;2;7.667;5
FB > display > Tiktok;0;0;3
Pinterest > FB > Pinterest > Tiktok;1;3.861;2
paid search > paid search > paid search > Tiktok > Tiktok > Tiktok > display;1;5.72;2
snapchat;1;2.236;2
FB > FB;0;0;2
Pinterest > Pinterest > display > Pinterest > Bing > Bing;1;2.418;2
FB > display > Tiktok > Bing;0;0;2
snapchat > Tiktok > FB;2;10.366;6
paid search > Tiktok > Pinterest > paid search > Pinterest > Pinterest > paid search > paid search > FB > paid search > FB > Bing;1;2.13;2
display > retargeting> display > display > retargeting> display > Tiktok > Tiktok;1;2.861;2
snapchat > Tiktok > FB > snapchat > snapchat > Pinterest;1;6.043;3
paid search > Pinterest > FB;0;0;2
Pinterest > FB;3;6.166;8
FB;1;3.178;3
paid search > FB;1;6.811;3
snapchat > snapchat > paid search;0;0;2
FB > paid search > FB > Tiktok > Pinterest > FB;1;3.664;2
FB;0;0;3
retargeting> retargeting> retargeting> paid search;1;2.35;2
snapchat > snapchat > paid search > Bing > Bing;0;0;2
Pinterest > Pinterest > Bing > Pinterest > Bing;0;0;2
FB > FB;1;1.725;3
Bing > snapchat;0;0;3
paid search > snapchat > Tiktok > snapchat > snapchat;0;0;3
FB;3;2.734;8
FB > FB;1;5.334;3
Pinterest > snapchat > Pinterest;1;6.861;3
snapchat > paid search;1;4.584;2
Pinterest > snapchat > snapchat > snapchat > FB > snapchat > Tiktok > Tiktok;1;3.614;3
snapchat > Tiktok > FB;1;4.298;3
paid search > paid search;11;42.5190526315789;64
Tiktok > paid search > paid search > paid search > display > Tiktok > snapchat;1;0.8;2
snapchat > snapchat > FB > snapchat > FB;0;0;3
paid search > paid search > paid search > paid search > paid search > Pinterest > paid search;0;0;3
paid search > FB;1;1.839;3
paid search > FB > paid search > paid search > paid search > paid search > paid search > Radio > paid search;2;7.276;5
snapchat > snapchat > snapchat > FB;1;3.152;2
FB;2;13.95;5
FB > paid search > Tiktok > FB > FB;1;9.521;3
paid search > Pinterest > Tiktok > paid search > Pinterest;1;4;2
snapchat > snapchat > snapchat > FB;1;3.49;3
paid search > paid search > paid search > paid search > FB;1;2.425;3
FB;0;0;6
paid search > paid search > Tiktok > paid search > paid search > paid search;3;13.961;9
paid search > paid search > snapchat > Tiktok > paid search > snapchat > FB;1;5.85;2
snapchat > snapchat > Tiktok > FB > snapchat > FB;0;0;2
paid search > snapchat > snapchat > paid search > Pinterest;1;7.102;3
snapchat > snapchat > FB > Bing;0;0;2
snapchat > snapchat;1;2.84;2
Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Pinterest > Pinterest > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest;1;1.987;3
paid search > FB;1;1.9;2
FB;41;96.7284615384616;135
snapchat > snapchat > snapchat > FB > FB > FB > snapchat > snapchat > FB > snapchat > snapchat > FB > snapchat > snapchat > FB > snapchat > snapchat > snapchat > snapchat > FB > FB > FB > snapchat > snapchat > snapchat > snapchat > Tiktok > snapchat > FB > FB > snapchat > Bing > snapchat > snapchat > Tiktok > snapchat > snapchat > FB;1;1.911;2
Pinterest > retargeting> Tiktok > Bing > Pinterest > Retargeting;1;3.543;3
snapchat > retargeting> Pinterest;2;8;5
snapchat > paid search;1;4.75;3
snapchat > Pinterest > snapchat > snapchat > paid search > paid search > snapchat > paid search > paid search;1;3.12;2
snapchat > snapchat > paid search > Tiktok > Tiktok;0;0;2
paid search > display > paid search > paid search;1;5.878;2
paid search > Tiktok > Bing > FB > paid search > paid search > paid search;1;3.9;2
display > paid search > display > paid search > paid search > FB > paid search > display > paid search > FB > FB;1;5.434;2
FB;1;4.16;2
snapchat;1;2.76;2
FB > Retargeting;1;2.3;3
snapchat > snapchat > Tiktok > FB > snapchat > FB > snapchat > FB > snapchat > FB;1;14.911;2
paid search > paid search > paid search > snapchat > paid search > paid search > paid search > paid search > paid search;0;0;2
snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > FB > snapchat > FB > FB > Bing > FB;1;0.353;2
retargeting> snapchat;1;8.252;2
paid search > paid search > paid search > paid search > paid search > paid search;0;0;3
paid search > paid search > Pinterest > Pinterest > Pinterest > paid search;0;0;3
FB > FB > FB > FB > FB > FB;1;2.15;2
snapchat > Pinterest > FB;1;2.623;2
Tiktok > Tiktok > FB > Retargeting;1;2.809;3
Pinterest > Tiktok > Tiktok > Tiktok > paid search > Pinterest > paid search > paid search;1;1.369;3
display > display > paid search > Bing > display > display;2;4.886;5
paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > display;1;12.3;3
Tiktok > paid search > snapchat > paid search > snapchat > Tiktok;1;2.326;2
paid search > paid search > Pinterest > paid search > paid search > paid search > paid search > paid search > display;2;5.953;5
paid search > paid search > Pinterest > Pinterest > paid search > paid search > snapchat > Pinterest > FB > paid search > FB > Pinterest > paid search > FB > Tiktok > Tiktok > paid search > paid search;1;4.247;2
FB > paid search;0;0;2
paid search > paid search > paid search > FB > FB > Pinterest > snapchat > Pinterest > paid search > Pinterest > Tiktok > Bing;1;1.904;2
snapchat > Pinterest > Pinterest > Pinterest > paid search > Bing > Pinterest > Bing > paid search > paid search > FB > FB;0;0;3
paid search > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > paid search > paid search > Tiktok > Tiktok > paid search > Tiktok > Tiktok > Tiktok;1;27.232;2
paid search > Tiktok > paid search > snapchat > Tiktok > paid search;1;5.361;3
FB > Bing > FB > Bing > Tiktok > paid search;1;6.345;2
retargeting> Tiktok > paid search;1;1.614;3
display > display > display > display > snapchat > display > Pinterest > display > display;1;25.246;3
snapchat > paid search > paid search > Tiktok;1;4.936;2
FB > Bing > display > FB;1;2.099;3
Pinterest > snapchat > snapchat > snapchat > FB;1;2.534;2
paid search > paid search > paid search > paid search > FB > display;1;3.476;3
FB > Tiktok > snapchat > FB > paid search;1;6.602;3
paid search > paid search > paid search > paid search > paid search > paid search > paid search;1;4.07;3
paid search > Tiktok > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > paid search;0;0;3
snapchat > paid search > paid search > paid search;1;4.108;2
snapchat > snapchat > snapchat > Pinterest > Tiktok;1;4.279;2
Pinterest > FB;1;8.6;2
display > display > display > display > display > display > display > FB > display > retargeting> display > display > retargeting> display > retargeting> display > Pinterest > retargeting> display > retargeting> display > retargeting> display > display > retargeting> display > display > display > retargeting> display > retargeting> display > display > FB;1;7.717;3
FB > Pinterest > FB;0;0;2
snapchat > paid search > paid search > snapchat > snapchat > Tiktok > Pinterest > paid search > Tiktok;1;2.75;3
snapchat > paid search > snapchat > snapchat > FB;0;0;2
snapchat > snapchat > paid search;1;0.6;2
snapchat > snapchat > snapchat > snapchat > snapchat;0;0;2
Pinterest > paid search > paid search > FB;1;6.58;2
offline > FB;1;2.295;3
display > paid search > paid search > display > Pinterest > display;1;4;2
paid search > paid search;1;11.989;2
paid search > paid search > paid search > paid search > Tiktok > paid search > Tiktok > paid search > Tiktok;1;1.648;3
snapchat > FB;1;1.55;2
snapchat > snapchat > FB;1;3.8;3
FB > retargeting> Tiktok;1;2.244;3
Tiktok > paid search > FB;0;0;2
paid search > FB > paid search > display > display > Bing;1;8.035;3
Pinterest > Pinterest > Tiktok > Tiktok > Pinterest > Tiktok > Tiktok > paid search > Tiktok > Bing;1;3.3;2
snapchat;0;0;3
paid search > Tiktok;1;97.29;6
FB > snapchat > FB > paid search > FB;0;0;3
paid search > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > FB > snapchat;0;0;2
snapchat > Pinterest > FB;1;1.2;3
FB > FB;1;3.948;3
Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Bing > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;1;7.71;2
paid search > Pinterest > snapchat > snapchat > snapchat > FB > paid search > paid search > snapchat > FB > Bing;1;1.599;3
snapchat > paid search > paid search > FB;1;19.021;3
paid search > paid search > Tiktok > paid search > display;0;0;3
paid search > paid search > FB;1;7.618;3
FB > FB > FB;0;0;2
FB > Tiktok;2;2.239;6
FB;6;37.278;18
paid search > paid search > paid search > paid search > paid search > FB > snapchat;1;0.9;3
snapchat > paid search > FB > paid search;1;4.298;3
paid search > FB > Tiktok;1;2.49;2
paid search > retargeting> paid search > retargeting> paid search > paid search > snapchat > retargeting> paid search > FB > Pinterest > retargeting> FB > retargeting> Pinterest > snapchat > FB > Tiktok;1;0.967;3
paid search > snapchat > snapchat;1;1.37533333333333;9
FB > FB > FB > FB;0;0;2
paid search > paid search > paid search;1;2.301;3
FB > Pinterest > Tiktok;4;11.6792;13
snapchat > snapchat > snapchat > paid search > display;0;0;2
Tiktok > paid search > display;1;2.43;2
display > Pinterest > Tiktok > Retargeting;1;4.925;6
FB > Tiktok;1;1.377;3
snapchat > paid search > Tiktok > snapchat > Pinterest;1;3.252;5
paid search > paid search > FB > FB > FB > FB > Pinterest > snapchat > Pinterest > Bing;1;24.572;2
paid search > paid search > paid search > paid search > paid search > paid search > FB;1;0.6;3
Bing > Tiktok > Tiktok > Tiktok > Tiktok;1;1.72;2
snapchat > FB > snapchat > snapchat > snapchat > snapchat > FB > Pinterest;1;7.855;3
snapchat > paid search;1;2.911;3
paid search > display > Tiktok;1;3.42;3
snapchat > Pinterest > Bing;0;0;3
paid search > paid search > paid search > paid search > Tiktok > paid search > paid search > Tiktok > paid search;2;2.828;9
FB > Retargeting;0;0;2
paid search > snapchat > FB;1;0.1;2
Pinterest > display > Pinterest > Pinterest > Tiktok > Pinterest > Pinterest;2;3.547;6
FB > FB;1;5.227;2
paid search > Tiktok > Pinterest > snapchat > snapchat;0;0;3
offline > snapchat > Tiktok > FB > Tiktok > Bing > Tiktok > Bing;1;4.329;3
snapchat > snapchat > FB;1;5.25;3
snapchat > paid search > paid search > Tiktok;1;5.076;3
snapchat > FB > FB;1;3.06;3
snapchat > snapchat > FB;1;1.984;3
snapchat > Pinterest;2;7.055;6
FB > Pinterest > FB > FB;1;2.062;3
paid search > Pinterest > display > display > paid search > Retargeting;1;3.776;3
paid search > FB > FB > snapchat > snapchat > FB > FB;1;2.9;3
FB;1;3.188;2
FB > FB;3;5.691;11
FB > paid search > FB;1;10.943;3
FB > snapchat > snapchat > paid search > snapchat > FB > paid search > snapchat > snapchat > snapchat > paid search > paid search > snapchat > FB > snapchat > paid search > paid search > display;1;7.08;2
snapchat > paid search > paid search;1;3.818;3
Pinterest > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Pinterest > Pinterest > Tiktok > Pinterest > Pinterest;1;2.295;2
FB > paid search;1;2.16;3
snapchat > FB > Tiktok > FB > snapchat > paid search;1;5.478;3
paid search > paid search > Bing > paid search;0;0;3
FB > FB > FB > FB;0;0;3
FB;0;0;2
snapchat > FB > snapchat > paid search > FB > paid search > snapchat > FB > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search > paid search;1;2.436;5
paid search > paid search > paid search > Pinterest > paid search;1;2.86;3
Pinterest > Pinterest > FB > FB > Pinterest > Pinterest > Tiktok;1;1.6;3
paid search > paid search > paid search > FB;0;0;2
snapchat > offline > Tiktok > offline > Pinterest > Bing;1;2.78;2
FB > FB > FB > Pinterest > Bing;1;5.268;3
paid search > paid search > paid search > FB > FB > paid search > FB;1;2.465;3
snapchat > FB;1;1.5;3
paid search > FB > paid search;1;2.745;2
retargeting> paid search > paid search > display > paid search;1;2.406;3
Tiktok > paid search > FB > FB > Tiktok > Bing;1;1.665;2
paid search > snapchat > FB;1;2.655;3
display > display > paid search > paid search > paid search > Tiktok > Tiktok;1;3.065;2
snapchat > paid search > snapchat > paid search > Pinterest;1;6.489;3
snapchat;1;7.65;3
paid search > snapchat > FB > Tiktok;1;2.443;3
paid search > FB > FB;0;0;3
Pinterest > paid search > Pinterest > Pinterest > Tiktok;1;5.796;3
Pinterest > display > Pinterest > FB;1;2.291;2
snapchat > snapchat > snapchat > FB > snapchat > snapchat > FB;1;2.855;3
snapchat > snapchat > snapchat > snapchat > snapchat > FB;0;0;3
snapchat > snapchat > snapchat;1;12.372;2
display > display > display > Pinterest > display > display > display;1;1.7;2
snapchat > Tiktok > FB > snapchat > snapchat > Bing > snapchat > snapchat > FB;1;2.537;2
paid search > paid search;1;10.644;3
snapchat > paid search > snapchat > paid search;1;4.117;3
paid search > paid search > Bing > Pinterest > display;1;1.51;2
Pinterest > snapchat > snapchat > FB;1;3.199;3
FB > Tiktok > Tiktok > FB > FB > Pinterest > FB > Pinterest > display > Pinterest > FB > Pinterest > FB > Pinterest;0;0;2
snapchat > FB > paid search > paid search > Tiktok > Tiktok;1;1.33;3
snapchat > paid search > snapchat > paid search;1;5;2
paid search > paid search > paid search > paid search > paid search > Pinterest > Tiktok;4;12.0688;12
FB > Tiktok > paid search > paid search > paid search > paid search > Tiktok > snapchat > snapchat > FB;0;0;3
FB > Tiktok > Tiktok > Tiktok > Tiktok;1;6.23;2
display > FB > Bing > Bing > FB;1;6.424;3
paid search > paid search > paid search > paid search > paid search > snapchat > FB > Tiktok;1;5.417;2
paid search > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > display > paid search > paid search > Tiktok > display > Tiktok > display > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > display;1;3.792;3
paid search > snapchat > display > display > FB;1;8.023;3
Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok > paid search > Tiktok > retargeting> paid search > paid search > paid search > Tiktok > paid search > Tiktok > paid search;0;0;2
snapchat > snapchat > paid search > Pinterest > paid search > paid search > Pinterest;1;11.166;2
snapchat;1;1.128;2
paid search > paid search > paid search > paid search > snapchat > Pinterest > Tiktok > Tiktok > Tiktok > Tiktok > Tiktok;0;0;3
paid search > snapchat > paid search > snapchat > paid search;1;6.2;2
paid search > paid search > paid search > paid search > paid search > paid search > Tiktok > paid search > Bing > Bing > Bing > Bing > paid search > Bing > Bing;0;0;3
FB;2;6.665;5
snapchat > paid search > paid search > paid search > snapchat;1;5;2
offline > FB;1;2.017;2
FB > snapchat > paid search > paid search > FB > snapchat > FB > FB > paid search > paid search > Bing;1;3.7;2
paid search > Tiktok > paid search > paid search > paid search > paid search > paid search > paid search > Pinterest > paid search;1;3.884;2
paid search > paid search > paid search > Pinterest > paid search > paid search > Pinterest > paid search > snapchat > snapchat > snapchat > snapchat > snapchat > snapchat > paid search > paid search > snapchat > paid search > paid search > paid search > Pinterest;1;10.15;2
snapchat > snapchat > snapchat > Tiktok > FB > snapchat > FB;1;3.041;3
paid search > paid search > FB > Tiktok > paid search > paid search;1;5.649;3
retargeting> paid search > Tiktok > Tiktok > paid search > Pinterest > Tiktok > paid search > Pinterest > snapchat > paid search > paid search > Pinterest > paid search;1;4.819;3
display > paid search > Pinterest;1;1.99;2
Pinterest > paid search > paid search > Pinterest > paid search > FB > FB > FB > FB > FB > FB > FB > FB;1;3.8;3
Pinterest > paid search > Pinterest > Pinterest > Pinterest > Tiktok > Pinterest > Pinterest > snapchat > Pinterest > snapchat > Pinterest > Pinterest > snapchat > Pinterest > Pinterest > Tiktok;1;4;3
FB;1;8.217;2
paid search > FB > display > Bing > Tiktok > Tiktok > FB > Tiktok;1;4.331;2
paid search > paid search > paid search > paid search > paid search;1;3.61;2
Pinterest > paid search > Pinterest > paid search > paid search > paid search;1;4.246;3
paid search > paid search > paid search > snapchat > snapchat > paid search > paid search > paid search > paid search;1;5.291;2
paid search > snapchat > snapchat > snapchat > snapchat > snapchat > Pinterest > FB;1;2;3
Tiktok > display > Tiktok > Tiktok > Tiktok > Pinterest;2;4.052;5
snapchat > snapchat > snapchat > FB > snapchat > snapchat;1;2.542;3
paid search > FB > Tiktok;1;2.68;2
snapchat > snapchat > FB > snapchat > FB;1;4.271;2
